Column1,tweet_id,created_at,text,intent,strength
68,7.63E+17,8/8/2016 20:41, نريد _ نكول انو الي انتخب هيج شكول ابد عنده ذووق وخايس ابد يحب الحياة ساقط سافل وقررت اهاجر  رابط ,1,1
69,7.55E+17,7/19/2016 12:00, مستخدم   مستخدم  احم احم الحر بينا بالمانيا وين تروح الحوريات هع خل اهاجر احسن العراقيين متعودين  رابط ,1,0
70,7.55E+17,7/17/2016 12:29, نحجي _ بصراحه الصراحة اتمنى اهاجر واتمنى بلدي يصير باقي الدول لان شنو فرقنة الباقين همة بشر واحنة بشر واحنة اهل الخير,1,0
71,7.52E+17,7/9/2016 1:12, ودك _ الحين اهاجر,1,1
72,7.51E+17,7/8/2016 0:53,افكر اهاجر,1,0
73,7.48E+17,6/29/2016 18:15,الس عليكم تنا العراق اتمنى ان اهاجر العراق يوجد عندي اي شئ بلدي ارجو يقرا كلماتي ان يساعدني ولكم جزيل الشكر,1,1
74,7.40E+17,6/6/2016 7:16, مستخدم  هه لمن اهاجر يم الحوريات تخلصون مني هع وين الحشد خل يجي يمهم لايطلعون داعش الهم خوطيه الحريات هع الجكمات,0,0
75,7.39E+17,6/5/2016 16:41,اهاجر نهارك يستلمني الليل وين البد بروحي الليل مابي غار  رابط ,0,0
76,7.38E+17,5/31/2016 23:56, مستخدم  لبغداد اهاجر,0,0
77,7.33E+17,5/19/2016 8:01,احم احم تعرفوني متابعاتي انا اشكد احبكم بتويتر فد يوم تكلمت البنات او حششت عليهم هع ابروني الذمه خاف مارجع لتويتر اهاجر 4 ايام,0,0
78,7.33E+17,5/18/2016 10:28, مستخدم  هه هه احاول اقنع ماكو اهاجر المانيا يم الحوريات  رابط ,1,1
79,7.29E+17,5/7/2016 9:13,احبك وحبي وحبك سبقا زمن الحب بملايين السنين اخبريني جميلتي تقول عيناك انهما بحرا اسافر فيهما اهاجر منهما,0,0
80,7.25E+17,4/26/2016 9:18,عوفونه المهاترات السياسيةاحلى لحظةعندي اعبر بالسيارة مطب صناعي مكسورمن مكان عبرة التايرات وتردون اهاجر لدولةتحاسبني حزم الامان,0,0
81,7.14E+17,3/26/2016 16:37, عاوز _ اهاجر _ علشان طول الطريق ببلع ترابك ريق ويوم عطشى ارتوى سم الاباريق,0,0
82,7.14E+17,3/26/2016 16:36,تيم المبحث بيدعموا تيم الشارع  عاوز _ اهاجر _ علشان شاركوا الشارع,0,0
83,7.09E+17,3/12/2016 18:12, مستخدم   مستخدم  اريد اهاجر لمصر,1,1
84,6.97E+17,2/10/2016 13:24,اهاجر اوكرانيا اول وحده الحلوه يروحلج فدوة الرئيس العراقي والعبادي والجبوري وال سعود وال حمد وعيال موزه هه  رابط ,1,1
85,6.79E+17,12/21/2015 19:21, اتمنى _ امنيه _ خياليه _ وخد _ فولورز اهاجر اشتغل شغلة محترمة  رابط ,1,1
86,6.76E+17,12/13/2015 15:03,عندما سمعتهم بواقعه  الطف قلتهم ليتنا كنا معكم   وعندما ظهر القليل قتلة  الحسين هاجرتم بلادكم مسرعين   أهاجر  وطني,0,0
87,6.73E+17,12/4/2015 23:00, رابط  اريد اهاجر للمغرب,1,1
88,6.64E+17,11/10/2015 18:51,احم احم عندي شهكه سالت حبوبتي اي جدتي اشلون تروح كالت خل تبوسك ابنيه حلوه وكون عيونه زرك اهاجر لمانيا تروح   رابط ,0,0
89,6.54E+17,10/12/2015 14:22, مستخدم  شكد حلوو لازم اهاجر,1,1
90,6.52E+17,10/9/2015 5:15, اطير الفراشات والطيور احلق السماء والنجوم تجري عروقي دماء الهموم اهاجر اغرد وتنسكب عيوني الغيوم  رابط ,0,0
91,6.46E+17,9/21/2015 3:13, _ اهاجر متواعد ويه امامي بليله العاشر  رابط ,0,0
92,6.45E+17,9/19/2015 23:06, مستخدم  اني اريد اهاجر لان اشوف نفسي مرتاح هنانه اكثر بلد ممحتاج شي اسافر أتونس وارجع عادي اهاجر لان عندي شغل هنانه,0,0
93,6.45E+17,9/19/2015 20:04, مستخدم   مستخدم   مستخدم   مستخدم   مستخدم  كالواهجر بلد كلت اهاجر بلد ووين االكه اطيب ترابه,0,0
94,6.45E+17,9/18/2015 4:57,اهاجر  رابط ,1,1
95,6.45E+17,9/17/2015 14:38, مستخدم   مستخدم   مستخدم  اثرت ارضا ربيع اليتامى مقيم   اهاجر   ياعراق الدماء الزواكي,0,0
96,6.44E+17,9/16/2015 20:06,اهاجر  رابط ,0,0
97,6.44E+17,9/16/2015 7:05,أهاجر وعندي حسين  رابط ,0,0
98,6.44E+17,9/15/2015 11:07,الى شاب العراق ورحل   ليبحث الامان   ولك شلون تعوف ابوك بوكت شداتة   نسيت نتة صرت وكبرت خيرنخلاتة حملة اهاجر,0,0
99,6.43E+17,9/14/2015 15:51,والله دمرتوا العراق والله هجرتوا الشباب ياسياسين الله يلعنكم   اهاجر  رابط ,0,0
100,6.43E+17,9/14/2015 13:25,حملة   اهاجر اكتب اهاجر طبعا يكتبها الي يحب وطنه وعنده غيرة العراق  رابط ,0,0
101,6.43E+17,9/12/2015 17:33,اهاجر وفي بلدي رجال يوجد مثيل العالم  رابط ,0,0
102,6.43E+17,9/12/2015 15:03,اهاجر واترك عراق المهدي عج,0,0
103,6.43E+17,9/12/2015 7:27,اهاجر   شلون اعوف حسين وترك كربلاء    رابط ,0,0
104,6.42E+17,9/11/2015 18:07,وين رايح كلي وين ترى والله ماعدهم علي  اهاجر  رابط ,0,0
105,6.42E+17,9/11/2015 14:12,اهاجر وانسى العذاب وقررت تهريب اطلع عالبحار وقررت باجر اشد حيلي واروح نمت بالرؤيه جن شفت الحسين يكلي قلبك يرضى تترك كربله,1,1
106,6.42E+17,9/10/2015 21:17, مستخدم  بابا لتهاجرين دوختينا فيس وتويتر أهاجر,0,0
107,6.42E+17,9/10/2015 20:17, مستخدم   مستخدم   مستخدم  اهاجر والكفل بت حامي الحمه شنهي اعوف حسين يوم الموزمه  _ اهاجر  رابط ,0,0
108,6.42E+17,9/10/2015 17:46,بيه واهس طير حر ارد افر الدنيا فر ووين ماعند الله اع انا استقر ارد اسافر ارد اهاجر ارد أعاشر  ناس ماتكسرلي  خاطر      رابط ,1,0
109,6.42E+17,9/10/2015 17:24,اهاجر الان عدي موعد وي امامي وقائدي  رابط ,0,0
110,6.42E+17,9/9/2015 14:11, مستخدم  اصبرلي خل اهاجر واصورلك باغيس,1,1
111,6.42E+17,9/9/2015 8:44,كربلاء   بلد يملك جمالك  اهاجر واترك كربلاء   رابط ,0,0
112,6.41E+17,9/8/2015 20:57, مستخدم   مستخدم   مستخدم   مستخدم   مستخدم  اهاجر,0,0
113,6.41E+17,9/8/2015 19:09, مستخدم   مستخدم   مستخدم   مستخدم   مستخدم  اهاجر واترك مقدساتي ولن اغادر واترك العراق,0,0
114,6.41E+17,9/8/2015 19:07,قال امير الكلام وسيد الاحكام وخير الانام النبي الصلاة والسلام ان رايتم الرايات السود الزمو الارض اهاجر  رابط ,0,0
115,6.41E+17,9/8/2015 7:21,اريد اهاجر وترك   الدجاجات  رابط ,1,0
116,6.41E+17,9/7/2015 19:55, مستخدم    خلقت الانسان ليشقى   اكو عالم هواية متكدر تتحمل ألومهم  _ اهاجر,0,0
117,6.41E+17,9/7/2015 18:27,قسما بالحسين الوجيه وجده وابيه وامه الزكية واخيه ولم اهاجر العراق مادمت حيا احسنتم جزاكم الله خير الجزاء  رابط ,0,0
118,6.41E+17,9/7/2015 18:06,عجيبة نعوف حسين يعتب ياموالين يكول اشو بعاشور تكصدني الملايين لاتهاجر ياحبيبي وتنفذ اوامر هالملاعين بالحسين اهاجر  رابط ,0,0
119,6.41E+17,9/7/2015 15:18,ياامن خربتم العراق فهو بلدي ووطني العزيز قسى وجار والله اهاجر بلد الانبياء والحسين استحلفكم بلله ان تعودو لايتقاسمون وطننا,0,0
120,6.41E+17,9/7/2015 12:25,المجاهدون يدافعون ارض علي والحسين  وانا الشرف شاركت بذلك لذا اترك ارض علي والحسين  _ اهاجر   رابط ,0,0
121,6.41E+17,9/7/2015 0:54, اهاجر وأنسى العذاب  حيل العيشه صارت  مهزله   وقررت  تهريب اطلع بحار  تركيا الدوله كون  معدله    رابط ,1,1
122,6.41E+17,9/6/2015 17:21,اي عقل يحملون هاجروا عنك ياحسين  حملة _ _ اهاجر  رابط ,0,0
123,6.41E+17,9/6/2015 17:13,ذنبك ان تكون مشرد ذنب الحاكمين العزل  حملة _ _ اهاجر,0,0
124,6.41E+17,9/6/2015 15:54,احب ان اشاهدك وطني شباك الطائرة  سأهاجر وستندمون  الهجرة _ _ الحل  _ اهاجر,1,1
125,6.40E+17,9/6/2015 12:55, مستخدم  ولم ولن اهاجر حبيبي عراق امير المؤمنين,0,0
126,6.40E+17,9/6/2015 11:26,لاتقلق ياابا محمد أولاد علي يهاجروا لأنهم يعشقون الشهاده الوطن  _ اهاجر  رابط ,0,0
127,6.40E+17,9/6/2015 10:12,وين تروح حملات للهجرة اهاجر انا مدري ياهو انا ضد   وكله خرط بخرط ,0,0
128,6.40E+17,9/5/2015 22:32, مستخدم   مستخدم  حسوني مقرر يهاجر  الا _ اهاجر,0,0
129,6.40E+17,9/5/2015 21:26, الحشد اكرم منا جميعا  _ أهاجر  رابط ,0,0
130,6.40E+17,9/5/2015 17:45,تاريخ البلد يكتبه ضمير أبنائه وليس كتب التاريخ والجغرافيا   _ أهاجر,0,0
131,6.40E+17,9/5/2015 9:09,جماعة   اهاجر واصحاب المبادئ الوطنية   خلي يفيدكم العراق    الهجرة الحل  الاسلام   طيح حظ الحياة,1,0
132,6.40E+17,9/5/2015 7:16,ولم نهاجر ونترك دولتا ضحى اجلها ائمتي ومراجعي واجدادي  _ أهاجر  رابط ,0,0
133,6.40E+17,9/5/2015 1:12,حمله أهاجر أنتبهوا أنتبهوا أنتبهوا  رابط ,0,0
134,6.40E+17,9/4/2015 21:38,اكييد اهاجر  رابط ,1,0
135,6.40E+17,9/4/2015 21:37, مستخدم   اهاجر,0,0
136,6.40E+17,9/4/2015 21:10,تراب الوطن يسوه كلش باهي الحياة يوجد أحسن الوطن  _ اهاجر,0,0
137,6.40E+17,9/4/2015 17:07,شكو بحملة أهاجر  تعذرني   انت فايخ  اهلك مسويلك العراق مره وربيع  والك المفهومية حبيبي ,1,0
138,6.40E+17,9/4/2015 11:00,بلادي وان جارت علي عزيزه   قومي وان شحوا علي كراموا   اهاجر,0,0
139,6.39E+17,9/3/2015 14:02,الوا هاجر اطلع برة العراق روح وكل همومك تنجلي سافرت وشفت راحة وامان اني شيعي شلون اعيش بلا علي  _ اهاجر  رابط ,0,0
140,6.39E+17,9/2/2015 20:45, مستخدم  اني شفت لصوره قررت اهاجر,1,1
141,6.38E+17,8/31/2015 18:01, مستخدم  استاذ داود امة العرب وخاصة عراق المرجعيه مستقبل ضاع عمري ولم افهم شيء ونادم لاني اهاجر,1,0
142,6.34E+17,8/20/2015 14:08, B D       حلم يعانقني أطير الطيور الرآحلة أهاجر عالم أنين لآ حنين  حلم  رابط ,1,0
143,6.27E+17,7/31/2015 18:29, مستخدم  ميلاد ليش متطلع كلهم اريد اهاجر,0,0
144,6.26E+17,7/27/2015 8:12, مستخدم  اهاجر للسويد,1,1
145,6.08E+17,6/8/2015 20:42,حلم يعانقني  أطير الطيور الرآحلة   أهاجر عالم لآ أنين لآ حنين,1,0
146,6.06E+17,6/3/2015 21:51,قاتلتي بكرامة خنجرك العربي أهاجر القفر وخنجرك الفضي بقلبي   وأنادي عشقتني بالخنجر   والهجر بلادي ألقيت مفاتيحي دجلة أيام الوجد,0,0
147,5.96E+17,5/7/2015 14:45,ارد افر الدنيا فر    وين الله كاع انه استقر   ارد اسافر   ارد اهاجر   ارد اعاشر ناس تكسرلي خاطر  رابط ,1,0
148,5.78E+17,3/18/2015 18:20, بيه واهس طير حر  أرد أفر الدنيا فر  أرد أسافر أرد أهاجر أرد أعاشر ناس ماتكسرلي خاطر  ناس بوجهي تنطيني الورد مو بظهري تغرز الغناجر  ,1,0
149,5.76E+17,3/11/2015 16:58,بية واهس طير حر ارد افر الدنيا فر وين ماعند الله كاع ارد استقر ارد اسافر ارد اهاجر ارد اعاشرناس ماتكسرلي خاطر,1,0
150,5.75E+17,3/8/2015 12:24, مستخدم  بية واهس طير حر ارد افر الدنيا فر ووين ماعند  الله كاع اني استقر ارد اسافر ارد اهاجر ارد اعاشر  ناس ماتكسرلي خاطر,1,0
151,5.28E+17,10/29/2014 22:24,حلم يعانقني  أطير الطيور الرآحلة   أهاجر عالم لآ أنين لآ حنين,1,0
152,5.23E+17,10/17/2014 23:43,انت ياسيدي الوطن يمكن ان اهاجر ابدآ  الحسين,0,0
153,5.18E+17,10/2/2014 18:31,انا اهاجر احد   ولكني ان قسيت ومات قلبي اصبح شيئا لايطااق        رابط ,0,0
154,5.05E+17,8/29/2014 21:26, اعترف _ امام _ متابعينك انا اريد اهاجر,1,1
155,4.77E+17,6/12/2014 0:13,هاي عود اني المفروض ماحب العراق واريد اهاجر    والله الوطن عزيز شكد ماواحد يحاول ينكر,1,1
156,4.76E+17,6/8/2014 17:00, مستخدم  انا اعشق البرازيل ناس البرازيل فريق البرازيل ربنا يكتب ان اهاجر اليها يوما الايام,1,0
157,1.36E+18,1/30/2021 6:18, مستخدم  البابا ينوي الحفاظ مشروعية الفاتيكان فضيحة استغلال الاطفال والاتجار بالبشر   وتحييد هجرة المسلمين الى اوربا,0,0
158,1.35E+18,1/21/2021 20:09, مستخدم  هاجري لسينمانا احلى هجرة وهم مو قانونية والله مدوخة روح اني نت بعدين ضربت الدنيا لاق وشيصير خلي يصير,1,0
159,1.35E+18,1/6/2021 14:23, مستخدم   مستخدم   مستخدم   مستخدم   مستخدم   مستخدم  والعراقيين يردون يهاجرون فيرحون تركيا دول أوروبا اجو عدكم مو لأنكم اليابان  علمود الشغل  وحتى يستفادون بفرق العملة ورغم همه قلة جدا الي يجوكم كهجرة لأن دولكم ماعدها برامج هجرة تستقبل المهاجرين أوروبا فاهم ,0,0
160,1.35E+18,1/5/2021 3:11, مستخدم  هجره ماكو وين نروح,0,0
161,1.34E+18,12/19/2020 15:10, مستخدم  هجرة الهباس  ,0,0
162,1.34E+18,12/14/2020 17:07, مستخدم  هجرة الهباس   العربية السعودية  ,0,0
163,1.34E+18,12/5/2020 17:08, مستخدم  الخسائر جسيمه داخل انفسهم لاكتشافهم حجم المؤامرة استهدفت كيانهم بالاتفاق الخفيةالمعلن امريكا وإيران وصمت دولي واممي فاضح لتدمير العراق والدعم الهائل للحكومات المتعاقبة لتخريب ماتبقى بتجارب داعش وماعش والفساد والجهل بمعنى ادق لاتغيير  تتهيئ اوربا لموجة هجرة جديدة ,0,0
164,1.33E+18,11/21/2020 8:43,إضافة ستوري تويتر نشاهد هجرة مسبوقة,0,0
165,1.33E+18,11/16/2020 9:58, مستخدم  خلونه هجره الرسول احلى واسهل بسرعه تنحفظ,0,0
166,1.33E+18,11/7/2020 20:29, مستخدم  ممكن يكون تحليل منطقي اني عزمت هجرة العراق الى الابد  بايدن طلع محور المقاومة,1,1
167,1.32E+18,10/26/2020 23:06, مستخدم   مستخدم  تصوري وهل كول صدمات ويصير بايدن حكم علمود ينشر الاسلام هجره متفيدنه,0,0
168,1.32E+18,10/19/2020 14:14,1 ربيع هجرة غيرت التاريخ ومبيت علي فراش خاتم الأنبياء   لله در الشاعر هاشم الكعبي ومواقف أحمد جاوزت بمقامك التعريف والتحديدا فعلى الفراش مبيت ليلك والعدى تهدي بوارقا ورعودا فرقدت مثلوج الفؤاد يهدي القراع لسمعك التغريدا,0,0
169,1.31E+18,9/18/2020 13:52, مستخدم  اكو تقديم هجره الى الكويت العراق,0,0
